equity,ts_utc
1000000.0,2026-01-02T03:40:11.857000+00:00
1000000.0,2026-01-02T03:52:30.204000+00:00
1000000.0,2026-01-02T03:56:45.468000+00:00
1000000.0,2026-01-02T03:57:45.577000+00:00
1000000.0,2026-01-02T03:58:45.694000+00:00
1000000.0,2026-01-02T03:59:45.773000+00:00
1000000.0,2026-01-02T04:00:45.864000+00:00
1000000.0,2026-01-02T04:01:45.965000+00:00
